➜  code git:(master) ✗ python one_user_userlinks_to_src_urls.py
No _ovg3g  https://www.instagram.com/p/BCnWZ_wvkt9/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnWDlbPktF/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnV7HRPkst/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnV279Pksl/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnVv7tvksY/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnQmkFPkg2/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnQaN6vkgi/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnPwNfvku9/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnPsiGvku2/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnPj29vkul/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnPiaJPkue/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnPdeuPkuP/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnPXdhPkuB/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnMwFBPkn6/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCl9oY3Pkm3/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCl4xc3Pkt5/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCl3KFjPkqP/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCl3Ai-vkp1/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjgvy-vkv9/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjgagdPkvV/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjgSg_vkvI/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCje3zcvksZ/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjeejRPkry/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjdRthPkp9/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjMSnSPksB/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjLwO3vkrK/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjLvW6PkrG/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjKmn2PkpP/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjKZ16vko_/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjKVhTPkoz/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjKMy2Pkon/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCjKFdzvkoT/?taken-by=the_jest3r
